path,size_bytes,sha256,category,used_by_tools_repro,note
data/COS.bin,1024,299733194b421ba0ad2a75c00a353350de919432892769424fa9f00d4e90b1d5,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
data/SIN.bin,1024,b16a59de78c1e8c300afef839d8480f9597c2bc0213fdf60bc7bdb7a3053cdc3,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
data/TAN.bin,1024,8e2eb54a550eff9d717f508e892cb136fcd4b49284a1d1011984e2b2dd9a078d,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
data/crayon.png,918,dfbb3fdd84a505b543e03811ace263636caa16aee66e39760121470678bb8801,historical-media-asset,no,Original image or audio asset preserved from the project history.
data/paper2.png,42062,b42cb2321b277255282a48fd7c58c1eccfcbd130d2fb618a56dc6a3b99ef688c,historical-media-asset,no,Original image or audio asset preserved from the project history.
data/pocketphysics.png,41008,5a508e36490fc3344ef6194469eedf5c57c5f2a7054d0e17eb48b13f908bde25,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/P1010092.JPG,2487127,68372221810c201794a693b5f92776cbed88ea0dade954a08adbe477a60bab34,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/P1010093.JPG,2651338,471989e26cae8daf9c8b3b4ea27f1b187cf47cd2729808c885ba60f2d2936171,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/P1010094.JPG,2656808,f7ff2eeda677a702b8cbd6634b10ff838682f17f0985987abe178cde20d65c1e,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/P1010095.JPG,2495846,b485f55f42d8c4cf2f237fa565049439ea12783aff9c2005060afdeed8a49cb3,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/P1010096.JPG,2464086,1e23066b50cc9d276bba4ff306de068e03a0bff80af37b8cabbe60fd31ab14c2,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/P1010097.JPG,2539557,0b75329fc9f0e58d01458e37743d5510bc0530cc0070c7bf1db8f623b68fe1cc,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/P1010102.JPG,2538629,e00e12d72923b49428cde4402373bfc25fec660fa93b86e4364c58cc2576a67a,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/icon_back.png,219,06996a7fd84ad6b6c6aa464ec0995c7d14ffeaabd83e7ab50727c6fdedd318c7,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/icon_box.png,203,3c702f32e9d5bb7eac646334914d018621c4824c1a0b8d6931735969ead62832,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/icon_box.raw,34,faa1b888ff69a68641c13629429034c3371c5b4010f30a5676aac1fbef241fd5,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
gfx/icon_box.rgb,810,f6d49019a01c9c7ad50dd745213fc60813b6a65b223a24ae2c6a428dc7a127de,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
gfx/icon_circle.png,221,d99bc9b1ba383901b87d94dca76ad43f4a4c53e2974217e2c0636f73e4299051,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/icon_circle.raw,34,703892d88763c1fdab3428e79a35b242e66c799c662e07ee1e8806579658fa71,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
gfx/icon_circle.rgb,810,352206c072392a05664710d28dbf38f6549b2516febeb33cd7e4513bc71e4b5f,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
gfx/icon_delete.png,244,c22bca1baa03e1c2c8cab744a9cdeb2f7b3ec88e1ec5d170d659bac944d97856,historical-media-asset,no,Original image or audio asset preserved from the project history.
gfx/icon_delete.raw,34,b745bbfedf951cb4d1fc96bf36cfe49bfa5ccb35952eede48330847729b88c5b,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
gfx/icon_delete.rgb,810,70fa22b3af01ed776b6d2fdce9511c0b30f5e7a680c854deb9bb21bdd311a0bb,historical-data-asset,no,Original graphics/audio/table data; not executable research code.
gfx/icon_delete_file.png,191,b4c3290fc874c972a4e2b49bd9349487e1ce6a0faf01d1155506f52d25270d48,historical-media-asset,no,Original image or audio asset preserved from the project history.
